Day,Time,Description
15-04-2025,08:00,Build CRM Decommissioning Work From Home Billable
15-04-2025,00:45,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
14-04-2025,00:15,Build CRM Decommissioning Work From Home Non Billable
11-04-2025,06:45,Detailed Design CRM Decommissioning Work From Home Billable
11-04-2025,01:45,Detailed Design CRM Decommissioning Work From Home Non Billable
10-04-2025,06:45,Detailed Design CRM Decommissioning Work From Home Billable
10-04-2025,01:30,Other - please leave a note in comments if you use this category Work From Home
10-04-2025,01:15,Detailed Design CRM Decommissioning Work From Home Non Billable
09-04-2025,06:45,Detailed Design CRM Decommissioning Work From Home Billable
09-04-2025,02:00,Detailed Design CRM Decommissioning Work From Home Non Billable
08-04-2025,06:45,Detailed Design CRM Decommissioning Work From Home Billable
08-04-2025,02:15,Detailed Design CRM Decommissioning Work From Home Non Billable
07-04-2025,06:45,Detailed Design CRM Decommissioning Work From Home Billable
07-04-2025,01:15,Detailed Design CRM Decommissioning Work From Home Non Billable
07-04-2025,01:00,Interview Work From Home
04-04-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
03-04-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
31-03-2025,00:30,Detailed Design CRM Decommissioning Work From Home Billable
28-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
28-03-2025,01:45,Detailed Design CRM Decommissioning Work From Home Non Billable
27-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
27-03-2025,00:30,Detailed Design CRM Decommissioning Work From Home Non Billable
26-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
26-03-2025,00:45,Detailed Design CRM Decommissioning Work From Home Non Billable
25-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
25-03-2025,02:00,Detailed Design CRM Decommissioning Work From Home Non Billable
24-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
24-03-2025,00:30,Detailed Design CRM Decommissioning Work From Home Non Billable
21-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
21-03-2025,00:50,Detailed Design CRM Decommissioning Work From Home Non Billable
20-03-2025,02:00,Detailed Design CRM Decommissioning Work From Home Non Billable
19-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
19-03-2025,00:45,Detailed Design CRM Decommissioning Work From Home Non Billable
18-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
18-03-2025,00:40,Other - please leave a note in comments if you use this category Work From Home
18-03-2025,00:30,Detailed Design CRM Decommissioning Work From Home Non Billable
14-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
14-03-2025,04:45,Self Study Work From Home
14-03-2025,00:45,Interview Work From Home
14-03-2025,00:30,Application Review Work From Home
14-03-2025,00:15,Work From Home
13-03-2025,00:45,Self Study Work From Home
12-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
12-03-2025,06:20,Self Study Work From Home
12-03-2025,00:30,Data Hub and CPI Migration Work From Home Non Billable
11-03-2025,08:00,Detailed Design CRM Decommissioning Work From Home Billable
11-03-2025,03:15,Self Study Work From Home
11-03-2025,01:00,OPP/SkillsBase/CV etc. Work From Home
11-03-2025,00:45,Data Hub and CPI Migration Work From Home Non Billable
11-03-2025,00:30,Work From Home
07-03-2025,02:41,Practice Initiatives Work From Home
07-03-2025,02:00,Marketing Content Creation Blogs Work From Home
07-03-2025,01:15,Self Study Work From Home
07-03-2025,01:00,Interview Work From Home
07-03-2025,00:45,Data Hub and CPI Migration Work From Home Non Billable
07-03-2025,00:15,Other - please leave a note in comments if you use this category Work From Home
05-03-2025,03:45,Self Study Work From Home
05-03-2025,03:15,Marketing Content Creation Blogs Work From Home
05-03-2025,00:45,Practice Initiatives Work From Home
04-03-2025,02:45,Practice Initiatives Work From Home
04-03-2025,02:28,Self Study Work From Home
04-03-2025,01:15,Work From Home
04-03-2025,01:00,Interview Work From Home
04-03-2025,00:35,Other - please leave a note in comments if you use this category Work From Home
28-02-2025,03:15,Practice Initiatives Work From Home
28-02-2025,02:56,Data Hub and CPI Migration Work From Home Non Billable
28-02-2025,01:30,Training Course Work From Home
28-02-2025,01:00,Marketing Content Creation Blogs Work From Home
28-02-2025,00:45,Work From Home
27-02-2025,00:40,Other - please leave a note in comments if you use this category Work From Home
26-02-2025,07:00,Self Study Work From Home
26-02-2025,00:30,Data Hub and CPI Migration Work From Home Non Billable
26-02-2025,00:30,Other - please leave a note in comments if you use this category Work From Home
25-02-2025,03:30,Self Study Work From Home
25-02-2025,02:15,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
25-02-2025,01:30,Data Hub and CPI Migration Work From Home Non Billable
24-02-2025,01:55,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
21-02-2025,08:00,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
21-02-2025,01:03,Practice Initiatives Work From Home
20-02-2025,06:00,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
20-02-2025,01:30,Archived BTP Foundation App development Work From Home Non Billable
20-02-2025,01:15,Self Study Work From Home
19-02-2025,00:30,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
18-02-2025,07:22,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
18-02-2025,00:45,Data Hub and CPI Migration Work From Home Non Billable
17-02-2025,06:00,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
17-02-2025,02:00,Other - please leave a note in comments if you use this category Work From Home
31-01-2025,07:33,Self Study Work From Home
30-01-2025,03:23,Internal Systems Work From Home
30-01-2025,00:50,Self Study Work From Home
29-01-2025,02:00,Proof of Concept Work From Home
29-01-2025,00:30,Other - please leave a note in comments if you use this category Work From Home
28-01-2025,03:30,Proof of Concept Work From Home
24-01-2025,07:15,Proof of Concept Work From Home
24-01-2025,01:00,Practice Initiatives Work From Home
23-01-2025,00:42,Practice Initiatives Work From Home
22-01-2025,07:15,Self Study Work From Home
22-01-2025,00:45,Practice Initiatives Work From Home
22-01-2025,00:30,Other - please leave a note in comments if you use this category Work From Home
21-01-2025,03:45,Self Study Work From Home
21-01-2025,00:30,Work From Home
17-01-2025,08:00,Self Study Work From Home
16-01-2025,08:00,Self Study Work From Home
15-01-2025,04:45,Self Study Work From Home
15-01-2025,02:15,Practice Initiatives Work From Home
14-01-2025,02:16,Self Study Work From Home
10-01-2025,07:45,Self Study Work From Home
10-01-2025,00:15,Practice Initiatives Work From Home
09-01-2025,08:30,Self Study Work From Home
08-01-2025,08:00,Self Study Work From Home
07-01-2025,08:00,Self Study Work From Home
06-01-2025,00:35,Other - please leave a note in comments if you use this category Work From Home
17-12-2024,04:15,Archived BTP Foundation BTP DevOps Work From Home Billable
17-12-2024,01:39,Archived BTP Foundation App development Work From Home Billable
17-12-2024,00:36,Internal Systems Work From Home
17-12-2024,00:30,Other - please leave a note in comments if you use this category Work From Home
16-12-2024,05:15,Archived BTP Foundation BTP DevOps Work From Home Billable
13-12-2024,08:00,Archived BTP Foundation BTP DevOps Work From Home Billable
13-12-2024,00:45,Archived BTP Foundation BTP DevOps Work From Home Non Billable
12-12-2024,08:00,Archived BTP Foundation BTP DevOps Work From Home Billable
11-12-2024,08:00,Archived BTP Foundation BTP DevOps Work From Home Billable
11-12-2024,01:00,Practice Initiatives Work From Home
10-12-2024,07:30,Archived BTP Foundation BTP DevOps Work From Home Billable
09-12-2024,01:45,Archived BTP Foundation App development Work From Home Billable
09-12-2024,00:35,Archived BTP Foundation BTP DevOps Work From Home Billable
04-12-2024,06:45,Archived BTP Foundation BTP DevOps Work From Home Billable
04-12-2024,00:30,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
03-12-2024,07:30,Archived BTP Foundation BTP DevOps Work From Home Billable
03-12-2024,01:11,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
02-12-2024,07:30,Archived BTP Foundation BTP DevOps Work From Home Billable
02-12-2024,02:00,Practice Initiatives Work From Home
29-11-2024,08:00,Archived BTP Foundation BTP DevOps Work From Home Billable
29-11-2024,00:30,Archived BTP Foundation BTP DevOps Work From Home Non Billable
27-11-2024,08:00,Archived BTP Foundation BTP DevOps Work From Home Billable
27-11-2024,02:15,Practice Initiatives Work From Home
26-11-2024,05:00,Archived BTP Foundation BTP DevOps Work From Home Billable
26-11-2024,00:45,Archived BTP Foundation BTP DevOps Work From Home Non Billable
25-11-2024,04:45,Archived BTP Foundation BTP DevOps Work From Home Billable
25-11-2024,00:30,Practice Initiatives Work From Home
25-11-2024,00:15,Other - please leave a note in comments if you use this category Work From Home
20-11-2024,03:00,Self Study Work From Home
20-11-2024,01:40,Archived BTP Foundation BTP DevOps Work From Home Billable
19-11-2024,02:00,Self Study Work From Home
19-11-2024,02:00,Knowledge Sharing Work From Home
18-11-2024,01:00,Archived BTP Foundation BTP DevOps Work From Home Billable
15-11-2024,01:00,Practice Initiatives Work From Home
12-11-2024,02:00,Archived BTP Foundation BTP DevOps Work From Home Billable
12-11-2024,01:00,Self Study Work From Home
08-11-2024,02:00,Sales Business Development Work From Home
06-11-2024,03:42,Self Study Work From Home
06-11-2024,03:30,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
06-11-2024,00:18,Other - please leave a note in comments if you use this category Work From Home
04-11-2024,04:50,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
04-11-2024,03:10,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
02-11-2024,00:30,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
01-11-2024,04:05,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
01-11-2024,03:55,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
31-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
30-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
29-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
28-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
25-10-2024,07:45,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
24-10-2024,07:05,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
24-10-2024,01:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
24-10-2024,00:15,Marketing Web Projects Work From Home
23-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
22-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
18-10-2024,06:30,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
18-10-2024,01:00,Interview Work From Home
18-10-2024,00:45,Practice Initiatives Work From Home
17-10-2024,04:30,Proof of Concept Work From Home
17-10-2024,03:30,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
16-10-2024,06:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
16-10-2024,01:30,Proof of Concept Work From Home
16-10-2024,00:30,Practice Initiatives Work From Home
16-10-2024,00:30,Other - please leave a note in comments if you use this category Work From Home
15-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
15-10-2024,00:30,SAP S/4HANA Cloud Public Edition Implementation Work From Home Non Billable
11-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
09-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
09-10-2024,00:33,OPP/SkillsBase/CV etc. Work From Home
08-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
08-10-2024,00:30,Interview Work From Home
04-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
03-10-2024,08:00,SAP S/4HANA Cloud Public Edition Implementation Work From Home Billable
01-10-2024,08:00,Proof of Concept Work From Home
26-09-2024,08:00,Proof of Concept Work From Home
24-09-2024,08:00,Proof of Concept Work From Home
23-09-2024,07:10,Proof of Concept Work From Home
20-09-2024,03:30,Practice Initiatives Work From Home
20-09-2024,02:20,Work From Home
20-09-2024,02:15,Self Study Work From Home
20-09-2024,00:54,Other - please leave a note in comments if you use this category Work From Home
20-09-2024,00:45,Application Review Work From Home
17-09-2024,04:00,Practice Initiatives Work From Home
13-09-2024,08:06,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
13-09-2024,00:31,Practice Initiatives Work From Home
12-09-2024,00:44,Work From Home
12-09-2024,00:40,Other - please leave a note in comments if you use this category Work From Home
10-09-2024,04:00,Self Study Work From Home
10-09-2024,04:00,Practice Initiatives Work From Home
09-09-2024,04:15,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
09-09-2024,02:45,Practice Initiatives Work From Home
09-09-2024,01:00,Self Study Work From Home
06-09-2024,03:00,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
06-09-2024,01:00,Self Study Work From Home
06-09-2024,00:45,Practice Initiatives Work From Home
04-09-2024,04:45,Self Study Work From Home
04-09-2024,02:30,Practice Initiatives Work From Home
04-09-2024,00:45,Other - please leave a note in comments if you use this category Work From Home
02-09-2024,07:59,Practice Initiatives Work From Home
30-08-2024,04:00,Practice Initiatives Work From Home
27-08-2024,03:30,Practice Initiatives Work From Home
27-08-2024,03:00,"Presales - please add a note to your task (i.e project name, relevant task etc) Work From Home"
27-08-2024,01:00,Work From Home
23-08-2024,01:00,Self Study Work From Home
22-08-2024,04:00,Practice Initiatives Work From Home
22-08-2024,01:45,Certification Work From Home
22-08-2024,00:45,Work From Home
20-08-2024,08:00,Self Study Work From Home
14-08-2024,03:30,Practice Initiatives Work From Home
14-08-2024,00:30,Self Study Work From Home
13-08-2024,07:11,Self Study Work From Home
13-08-2024,00:36,Work From Home
09-08-2024,00:45,Practice Initiatives Work From Home
26-07-2024,00:30,Practice Initiatives Work From Home
